,epoch,tag,variable,value,training_time,sem_variant
6644,51.0,april_17_always_s1100_1E-01_5E+05,bi,0.3720399798075263,515.8589974320988,full
6655,31.0,april_17_always_s1100_1E-01_5E+05,bi,0.4119863372793953,318.0342232839506,full
6666,1.0,april_17_always_s1100_1E-01_5E+05,bi,0.329388344532841,9.992520481481481,full
6677,71.0,april_17_always_s1100_1E-01_5E+05,bi,0.3923095533808414,725.8009111234568,full
6688,81.0,april_17_always_s1100_1E-01_5E+05,bi,0.4031052174101297,826.7978039259258,full
6699,21.0,april_17_always_s1100_1E-01_5E+05,bi,0.4548548729927526,217.90897308641976,full
6710,11.0,april_17_always_s1100_1E-01_5E+05,bi,0.4481517886785862,114.45198767901233,full
6721,61.0,april_17_always_s1100_1E-01_5E+05,bi,0.3979152909247493,625.3894313086419,full
6732,41.0,april_17_always_s1100_1E-01_5E+05,bi,0.3777065150177565,419.91400145679006,full
6743,91.0,april_17_always_s1100_1E-01_5E+05,bi,0.398403227187627,923.0986329506175,full
18942,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,515.8589974320988,full
18943,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2475395189980146,515.8589974320988,full
18944,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2412784698328505,515.8589974320988,full
18945,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2482693231770686,515.8589974320988,full
18946,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2206014258537737,515.8589974320988,full
18947,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.234208603620816,515.8589974320988,full
18948,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.207343354868053,515.8589974320988,full
18949,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.212685843328881,515.8589974320988,full
18950,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2478257671891202,515.8589974320988,full
18951,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2250324090492212,515.8589974320988,full
18952,51.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2246885049491604,515.8589974320988,full
18953,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,1033.6255435555556,full
18954,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2358235380232065,1033.6255435555556,full
18955,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2283759588569962,1033.6255435555556,full
18956,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2160209005527908,1033.6255435555556,full
18957,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2344366218828874,1033.6255435555556,full
18958,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.260127473656903,1033.6255435555556,full
18959,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2407350584872931,1033.6255435555556,full
18960,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2882130943216809,1033.6255435555556,full
18961,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2457337973087852,1033.6255435555556,full
18962,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2254868696293364,1033.6255435555556,full
18963,101.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2156697666003723,1033.6255435555556,full
18964,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,217.90897308641976,full
18965,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2330946965222244,217.90897308641976,full
18966,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2595442450564184,217.90897308641976,full
18967,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2268425990919546,217.90897308641976,full
18968,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2096991257968405,217.90897308641976,full
18969,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2005270365572734,217.90897308641976,full
18970,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.203092168172302,217.90897308641976,full
18971,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2363404169521442,217.90897308641976,full
18972,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.220688485042219,217.90897308641976,full
18973,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2292774953573832,217.90897308641976,full
18974,21.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.1902724912139806,217.90897308641976,full
18975,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,419.91400145679006,full
18976,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.202226186409311,419.91400145679006,full
18977,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2139888022351758,419.91400145679006,full
18978,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2309749593219523,419.91400145679006,full
18979,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2255779680611149,419.91400145679006,full
18980,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2465270874004174,419.91400145679006,full
18981,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2247817762649479,419.91400145679006,full
18982,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2141674385948337,419.91400145679006,full
18983,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2388557474375515,419.91400145679006,full
18984,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2460517135599165,419.91400145679006,full
18985,41.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2238852749312499,419.91400145679006,full
18986,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,923.0986329506175,full
18987,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2106430668688176,923.0986329506175,full
18988,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.21774911892915,923.0986329506175,full
18989,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2330429091281314,923.0986329506175,full
18990,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.200250872984106,923.0986329506175,full
18991,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2539022048863243,923.0986329506175,full
18992,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.231022346776447,923.0986329506175,full
18993,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.241959371626058,923.0986329506175,full
18994,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.223874489944921,923.0986329506175,full
18995,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2223801256993769,923.0986329506175,full
18996,91.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2380087751105294,923.0986329506175,full
18997,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,114.45198767901233,full
18998,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2250781075518644,114.45198767901233,full
18999,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2491871758746997,114.45198767901233,full
19000,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2142702824037705,114.45198767901233,full
19001,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2479111741946863,114.45198767901233,full
19002,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2140216309976899,114.45198767901233,full
19003,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2253579854051706,114.45198767901233,full
19004,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2244632511487395,114.45198767901233,full
19005,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.1706786778467854,114.45198767901233,full
19006,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2413417340977979,114.45198767901233,full
19007,11.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2279132744569663,114.45198767901233,full
19008,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,9.992520481481481,full
19009,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2221147053361932,9.992520481481481,full
19010,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.215381327500651,9.992520481481481,full
19011,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2052621993748977,9.992520481481481,full
19012,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.1863455989527904,9.992520481481481,full
19013,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2348181065039301,9.992520481481481,full
19014,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2010368463210803,9.992520481481481,full
19015,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2245880549618372,9.992520481481481,full
19016,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2175891400079627,9.992520481481481,full
19017,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2595292518297116,9.992520481481481,full
19018,1.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.1951499267580571,9.992520481481481,full
19019,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,625.3894313086419,full
19020,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2342895639347498,625.3894313086419,full
19021,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2165102143774179,625.3894313086419,full
19022,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2518471579408226,625.3894313086419,full
19023,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2143575390838691,625.3894313086419,full
19024,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2543756306366845,625.3894313086419,full
19025,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2756964022383817,625.3894313086419,full
19026,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2149912036244815,625.3894313086419,full
19027,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2351786247547958,625.3894313086419,full
19028,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2342373007135973,625.3894313086419,full
19029,61.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2443020259439663,625.3894313086419,full
19030,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,318.0342232839506,full
19031,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.231186593072712,318.0342232839506,full
19032,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2321908664249264,318.0342232839506,full
19033,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2207395777358467,318.0342232839506,full
19034,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2309061420786042,318.0342232839506,full
19035,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.223559342778367,318.0342232839506,full
19036,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2094464627030194,318.0342232839506,full
19037,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2342759340090426,318.0342232839506,full
19038,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2602336790443892,318.0342232839506,full
19039,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2331567723287483,318.0342232839506,full
19040,31.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2199779662543551,318.0342232839506,full
19041,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,725.8009111234568,full
19042,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2155966408074923,725.8009111234568,full
19043,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2252120344156577,725.8009111234568,full
19044,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2310078307512887,725.8009111234568,full
19045,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2387489711570026,725.8009111234568,full
19046,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.209052722197982,725.8009111234568,full
19047,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.1984958975584564,725.8009111234568,full
19048,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2195814747255829,725.8009111234568,full
19049,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2084280705943618,725.8009111234568,full
19050,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2289054861603087,725.8009111234568,full
19051,71.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2217864257684767,725.8009111234568,full
19052,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,,826.7978039259258,full
19053,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2397794199690614,826.7978039259258,full
19054,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2458743651753209,826.7978039259258,full
19055,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2241248070620935,826.7978039259258,full
19056,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.221151509802964,826.7978039259258,full
19057,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2523722164134359,826.7978039259258,full
19058,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2409098706797145,826.7978039259258,full
19059,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2160013870395407,826.7978039259258,full
19060,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2298352036027943,826.7978039259258,full
19061,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2214867841132865,826.7978039259258,full
19062,81.0,april_17_always_s1090_1E-01_5E+05,bi_shuffle,0.2312161099830614,826.7978039259258,full
