,epoch,tag,variable,value,training_time,sem_variant
20714,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2407636269845373,1033.6255435555556,full
20715,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2189321337381377,1033.6255435555556,full
20716,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2156992028488422,1033.6255435555556,full
20717,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2220782410222305,1033.6255435555556,full
20718,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2174692985865626,1033.6255435555556,full
20719,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.220158160677972,1033.6255435555556,full
20720,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2399524507695139,1033.6255435555556,full
20721,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2292191558890499,1033.6255435555556,full
20722,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2427923796183103,1033.6255435555556,full
20723,101,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2191193300436487,1033.6255435555556,full
20724,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,217.90897308641976,full
20725,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1841421854843372,217.90897308641976,full
20726,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1621579466797465,217.90897308641976,full
20727,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1830667444881099,217.90897308641976,full
20728,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1778901480794184,217.90897308641976,full
20729,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1635187020587465,217.90897308641976,full
20730,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1862120364118957,217.90897308641976,full
20731,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1904624921711754,217.90897308641976,full
20732,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1960014058360597,217.90897308641976,full
20733,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1946685378282319,217.90897308641976,full
20734,21,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1699707293054282,217.90897308641976,full
20735,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,419.91400145679006,full
20736,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1825346419917112,419.91400145679006,full
20737,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2042212025197531,419.91400145679006,full
20738,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2069821167304889,419.91400145679006,full
20739,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.1891339152977242,419.91400145679006,full
20740,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2041079326547775,419.91400145679006,full
20741,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2165762585704828,419.91400145679006,full
20742,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2219318909187945,419.91400145679006,full
20743,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.206305111076524,419.91400145679006,full
20744,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2014057501952459,419.91400145679006,full
20745,41,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2127392605040974,419.91400145679006,full
20746,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,,923.0986329506175,full
20747,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2387190631462374,923.0986329506175,full
20748,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2581973008462854,923.0986329506175,full
20749,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2307116942732242,923.0986329506175,full
20750,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2330490506916289,923.0986329506175,full
20751,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2506858895160075,923.0986329506175,full
20752,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2375982791767153,923.0986329506175,full
20753,91,april_17_always_s1090_1E-01_5E+05,mi_shuffle,0.2468576887221425,923.0986329506175,full
